DRUG_0	ECALLANTIDE
DRUG_133	ETHOPROPAZINE
DRUG_134	OXYPHENCYCLIMINE
DRUG_135	FURTRETHONIUM
DRUG_136	OXYBUTYNIN
DRUG_137	INDACATEROL
DRUG_138	AFACIFENACIN
DRUG_139	DARIFENACIN
DRUG_140	PROMAZINE
DRUG_141	DICYCLOMINE HYDROCHLORIDE
DRUG_142	BENZTROPINE
DRUG_143	TRIHEXYPHENIDYL HYDROCHLORIDE
DRUG_144	OXYPHENONIUM BROMIDE
DRUG_145	CYCRIMINE HYDROCHLORIDE
DRUG_146	ETHOPROPAZINE HYDROCHLORIDE
DRUG_147	PIPERTRAMINE AMIDE
DRUG_148	OXOTREMORINE
DRUG_149	VINBURNINE
DRUG_150	ISOPROPAMIDE IODIDE
DRUG_151	PROPANTHELINE BROMIDE
DRUG_152	METHIXENE HYDROCHLORIDE
DRUG_153	ASM-024
DRUG_154	SABCOMELINE
DRUG_155	TRIPITRAMINE
DRUG_156	NEBRACETAM
DRUG_157	DIPHENIDOL HYDROCHLORIDE
DRUG_158	GLYCOPYRRONIUM
DRUG_159	BRUCINE
DRUG_160	CHEMBL523685
DRUG_161	PIPERTRAMINE
DRUG_162	OLANZAPINE
DRUG_163	DAROTROPIUM BROMIDE
DRUG_164	PIRENZEPINE
DRUG_165	CHEMBL1242950
DRUG_166	REVEFENACIN
DRUG_167	TRIDIHEXETHYL
DRUG_168	VINCAMINE
DRUG_169	XANOMELINE
DRUG_170	MK-7622
DRUG_171	CEVIMELINE HYDROCHLORIDE
DRUG_172	PROCYCLIDINE HYDROCHLORIDE
DRUG_173	BENZTROPINE MESYLATE
DRUG_174	DOTHIEPIN
DRUG_175	TRIDIHEXETHYL CHLORIDE
DRUG_176	OXYPHENCYCLIMINE HYDROCHLORIDE
DRUG_177	STRYCHNINE
DRUG_178	METHYLPHENIDATE
DRUG_179	APIGENIN
DRUG_180	LAPACHONE
DRUG_181	APOMORPHINE HYDROCHLORIDE HEMIHYDRATE
DRUG_182	OXOPURPUREINE
DRUG_183	CHEMBL122701
DRUG_184	CHEMBL586000
DRUG_185	PHENAZOPYRIDINE HYDROCHLORIDE
DRUG_186	CHEMBL1451216
DRUG_187	CHEMBL146710
DRUG_188	CALCIMYCIN
DRUG_189	CHEMBL77387
DRUG_190	GENTIAN VIOLET
DRUG_191	ARISTOLOCHIC ACID
DRUG_192	CHEMBL67535
DRUG_193	TANSHINONE I
DRUG_194	CHEMBL196814
DRUG_195	4-METHOXYDALBERGIONE
DRUG_196	CHEMBL1567571
DRUG_197	ISOBOLDINE
DRUG_198	CHEMBL323356
DRUG_199	METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE
DRUG_200	CHEMBL1257092
DRUG_201	TYRPHOSTIN 25
DRUG_202	ATHRAQUINONES A
DRUG_203	FELODIPINE
DRUG_204	CHEMBL1503190
DRUG_205	CHEMBL548017
DRUG_206	CHEMBL166486
DRUG_207	L-755507
DRUG_208	SARCOLYSIN
DRUG_209	STAUROSPORINE AGLYCON
DRUG_210	DAMNACANTHAL
DRUG_211	CHEMBL399530
DRUG_212	CHEMBL585654
DRUG_213	CHEMBL587620
DRUG_214	KAEMPFEROL
DRUG_215	CHEMBL1466186
DRUG_216	GOSSYPOL
DRUG_217	PITTSBURGH COMPOUND B
DRUG_218	CYSTAMINE DIHYDROCHLORIDE
DRUG_219	PHENOTHIAZINE
DRUG_220	DIAMIDE
DRUG_221	CHEMBL1397308
DRUG_222	SANGUINARINE SULFATE
DRUG_223	CHEMBL601140
DRUG_224	CHEMBL606166
DRUG_225	CHEMBL312487
DRUG_226	CHEMBL1989853
DRUG_227	RESVERATROL
DRUG_228	ERGOCRISTINE
DRUG_229	CHEMBL337173
DRUG_230	CAFFEIC ACID PHENETHYL ESTER
DRUG_231	CHEMBL582473
DRUG_232	CHEMBL483847
DRUG_233	DANTROLENE
DRUG_234	ALLOXAN
DRUG_235	ETHACRIDINE LACTATE
DRUG_236	NIFUROXAZIDE
DRUG_237	CHEMBL1546228
DRUG_238	CHEMBL175266
DRUG_239	BENSERAZIDE HYDROCHLORIDE
DRUG_240	DAUNORUBICIN HYDROCHLORIDE
DRUG_241	CHEMBL1306524
DRUG_242	9,10-PHENANTHRENEQUINONE
DRUG_243	CHEMBL2181040
DRUG_244	GALLIC ACID
DRUG_245	GUTHION
DRUG_246	NIGULDIPINE
DRUG_247	AGROCLAVINE
DRUG_248	ISOGINKGETIN
DRUG_249	ROSMARINIC ACID
DRUG_250	PROPYLENE GLYCOL MONOSTEARATE
DRUG_251	CHEMBL126804
DRUG_252	CHEMBL297304
DRUG_253	DOXORUBICIN HYDROCHLORIDE
DRUG_254	CHEMBL578905
DRUG_255	ZAPA
DRUG_256	CHEMBL582286
DRUG_257	LANSOPRAZOLE
DRUG_258	CHEMBL99408
DRUG_259	TANSHINONE IIA
DRUG_260	CHEMBL2181039
DRUG_261	BILIRUBIN
DRUG_262	QUERCETIN
DRUG_263	CHEMBL601367
DRUG_264	BAICALEIN
DRUG_265	CHEMBL1334465
DRUG_266	CHEMBL586031
DRUG_267	MITOXANTRONE HYDROCHLORIDE
DRUG_268	ZAGOTENEMAB
DRUG_269	CHEMBL1814509
DRUG_270	OXYTETRACYCLINE
DRUG_271	DOCONEXENT
DRUG_272	CHEMBL515252
DRUG_273	OXOGLAUCINE
DRUG_274	CHEMBL606167
DRUG_275	RHEIN
DRUG_276	CHEMBL1609016
DRUG_277	1,2-NAPHTHOQUINONE
DRUG_278	3-METHYLCHOLANTHRENE
DRUG_279	2,6-DIMETHOXYQUINONE
DRUG_280	OSAJIN
DRUG_281	ROTTLERIN
DRUG_282	METHYLENE BLUE
DRUG_283	DERRUBONE
DRUG_284	CHEMBL527584
DRUG_285	CHEMBL244707
DRUG_286	CHEMBL1224755
DRUG_287	CHEMBL601952
DRUG_288	CHEMBL528807
DRUG_289	SULFURETIN
DRUG_290	CHEMBL1335833
DRUG_291	INAMRINONE
DRUG_292	CHEMBL538542
DRUG_293	CHEMBL578294
DRUG_294	DEXKETOPROFEN
DRUG_295	STREPTONIGRIN
DRUG_296	OBTUSAQUINONE
DRUG_297	CHEMBL1412489
DRUG_298	TRANSPLATIN
DRUG_299	CHEMBL528181
DRUG_300	CHEMBL600734
DRUG_301	LAPACHOL
DRUG_302	CHEMBL1601846
DRUG_303	TOLONIUM CHLORIDE
DRUG_304	CHEMBL24983
DRUG_305	CHEMBL579837
DRUG_306	HAEMATOXYLIN
DRUG_307	GOSSYPETIN
DRUG_308	DIMETHYL GAMBOGATE
DRUG_309	CHEMBL586078
DRUG_310	THIOLUTIN
DRUG_311	CHEMBL592124
DRUG_312	NORDEFRIN
DRUG_313	CHEMBL1569494
DRUG_314	CHEMBL1390716
DRUG_315	KOPARIN
DRUG_316	CHEMBL313737
DRUG_317	DIHYDROERGOTAMINE
DRUG_318	NIFEDIPINE
DRUG_319	CHEMBL579105
DRUG_320	ARACHIDONIC ACID
DRUG_321	CURCUMIN
DRUG_322	NBQX
DRUG_323	RACEPINEPHRINE
DRUG_324	CHEMBL222556
DRUG_325	CATECHIN
DRUG_326	CHEMBL584442
DRUG_327	AMENTOFLAVONE
DRUG_328	SEMAXANIB
DRUG_329	CHEMBL585591
DRUG_330	PHOSMET
DRUG_331	CHEMBL602969
DRUG_332	PATULIN
DRUG_333	BROMOENOL LACTONE
DRUG_334	PYRANTEL PAMOATE
DRUG_335	CHEMBL17201
DRUG_336	CHEMBL600747
DRUG_337	EPALRESTAT
DRUG_338	LINOLENIC ACID
DRUG_339	CHEMBL533293
DRUG_340	CHEMBL585656
DRUG_341	GW282974X
DRUG_342	CEAROIN
DRUG_343	CHEMBL580071
DRUG_344	CARBONYL CYANIDE M-CHLOROPHENYLHYDRAZONE
DRUG_345	ALTENUSIN
DRUG_346	SAPPANONE A DIMETHYL ETHER
DRUG_347	CHEMBL1465049
DRUG_348	LAVENDUSTIN A
DRUG_349	5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB]
DRUG_350	CHEMBL211670
DRUG_351	PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT
DRUG_352	RESERPINE
DRUG_353	PD-169316
DRUG_354	CHEMBL252417
DRUG_355	STICTIC ACID
DRUG_356	CHEMBL59150
DRUG_357	CHEMBL597035
DRUG_358	METHYLTHIONINIUM CHLORIDE
DRUG_359	CHLORANIL
DRUG_360	ERGOCRYPTINE
DRUG_361	EMBELIN
DRUG_362	CISPLATIN
DRUG_363	TYRPHOSTIN 23
DRUG_364	CHOLECALCIFEROL
DRUG_365	CHEMBL343002
DRUG_366	GW441756X
DRUG_367	CHEMBL581044
DRUG_368	CHEMBL601353
DRUG_369	3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
DRUG_370	CHEMBL531322
DRUG_371	HARMALOL
DRUG_372	XANTHOANGELOL
DRUG_373	PIPLARTINE
DRUG_374	CHEMBL242171
DRUG_375	COUMESTROL
DRUG_376	CHEMBL72365
DRUG_377	CHEMBL601385
DRUG_378	2-BENZOYL-5-METHOXYBENZOQUINONE
DRUG_379	PICEATANNOL
DRUG_380	CHEMBL533965
DRUG_381	HELENALIN
DRUG_382	CHEMBL595227
DRUG_383	CHEMBL586061
DRUG_384	CHEMBL1984884
DRUG_385	CHEMBL493863
DRUG_386	CHEMBL1426508
DRUG_387	DEHYDROVARIABILIN
DRUG_388	GF-109203
DRUG_389	TRIMETREXATE
DRUG_390	CHEMBL538104
DRUG_391	CHEMBL578890
DRUG_392	AURINTRICARBOXYLIC ACID
DRUG_393	FUMARPROTOCETRARIC ACID
DRUG_394	Z-PRO-PROLINAL
DRUG_395	CHEMBL1518572
DRUG_396	SU-9516
DRUG_397	RHAMNETIN
DRUG_398	DANTROLENE SODIUM
DRUG_399	GARCINONE E
DRUG_400	CHEMBL339587
DRUG_401	CHEMBL184074
DRUG_402	DITHIAZANINE IODIDE
DRUG_403	MORIN
DRUG_404	SAPPANONE A TRIMETHYL ETHER
DRUG_405	CHEMBL274921
DRUG_406	CHEMBL322970
DRUG_407	CIS-RESVERATROL
DRUG_408	CHEMBL1498652
DRUG_409	TYRPHOSTIN 47
DRUG_410	WORTMANNIN
DRUG_411	SANGUINARIUM
DRUG_412	CHEMBL2094456
DRUG_413	OMEPRAZOLE
DRUG_414	CHEMBL2002487
DRUG_415	HOMIDIUM BROMIDE
DRUG_416	U-0126
DRUG_417	TRICETIN
DRUG_418	CHEMBL429095
DRUG_419	CHEMBL1519374
DRUG_420	4,4'-DIMETHOXYDALBERGIONE
DRUG_421	AROMATICIN
DRUG_422	HYDROXYZINE PAMOATE
DRUG_423	ARUNDINE
DRUG_424	CHEMBL590691
DRUG_425	CHEMBL19954
DRUG_426	BISINDOLYLMALEIMIDE IX
DRUG_427	CHEMBL1079460
DRUG_428	CHEMBL525103
DRUG_429	DAUNORUBICIN
DRUG_430	MANGOSTIN
DRUG_431	IRIGENOL
DRUG_432	HOMIDIUM
DRUG_433	EPIGALOCATECHIN GALLATE
DRUG_434	ERBSTATIN
DRUG_435	CHEMBL590186
DRUG_436	CHEMBL600738
DRUG_437	AMSACRINE HYDROCHLORIDE
DRUG_438	PURPUROGALLIN
DRUG_439	HYPERICIN
DRUG_440	CHEMBL310934
DRUG_441	CHEMBL578504
DRUG_442	CARBOPLATIN
DRUG_443	TRIBROMSALAN
DRUG_444	CHEMBL580183
DRUG_445	INDIRUBIN-3-MONOXIME
DRUG_446	FENRETINIDE
DRUG_447	CHELERYTHRINE
DRUG_448	CHEMBL2095095
DRUG_449	RABEPRAZOLE
DRUG_450	CYSTAMINE HYDROCHLORIDE
DRUG_451	ISOLIQUIRITIGENIN
DRUG_452	BERBERINE CHLORIDE
DRUG_453	POMIFERIN
DRUG_454	DAPH
DRUG_455	CHEMBL576409
DRUG_456	CHEMBL546576
DRUG_457	CHEMBL462861
DRUG_458	CHEMBL578512
DRUG_459	CHEMBL457504
DRUG_460	SANGUINARIUM CHLORIDE
DRUG_461	CHEMBL1372046
DRUG_462	IRIGINOL HEXAACEATATE
DRUG_463	CHEMBL68534
DRUG_464	CHEMBL546597
DRUG_465	CHEMBL35482
DRUG_466	CHEMBL1939691
DRUG_467	CHEMBL536375
DRUG_468	EPINEPHRINE
DRUG_469	IDARUBICIN
DRUG_470	CHEMBL403741
DRUG_471	CHEMBL505670
DRUG_472	CRYPTOTANSHINONE
DRUG_473	JUGLONE
DRUG_474	O-DEMETHYLATED ADAPALENE
DRUG_475	CHEMBL139935
DRUG_476	EMODIN
DRUG_477	MENADIONE
DRUG_478	CHEMBL580155
DRUG_479	CHLOROTHALONIL
DRUG_480	OLEOYL DOPAMINE
DRUG_481	CHEMBL428789
DRUG_482	INDIGOTINDISULFONATE
DRUG_483	EPINEPHRINE BITARTRATE
DRUG_484	SHIKONIN
DRUG_485	CHEMBL607309
DRUG_486	R-N-PROPYLNORAPOMORPHINE
DRUG_487	CHEMBL1367933
DRUG_488	NICLOSAMIDE
DRUG_489	HEMATOXYLIN
DRUG_490	CHEMBL1510164
DRUG_491	CHEMBL591628
DRUG_492	OXITRIPTAN
DRUG_493	ANGUSTIBALIN
DRUG_494	RATANIAPHENOL II
DRUG_495	CHEMBL2094422
DRUG_496	(S)APOMORPHINE
DRUG_497	DALBERGIONE, 4-METHOXY-4'-HYDROXY-
DRUG_498	LUTEOLIN
DRUG_499	CHEMBL56731
DRUG_500	CHEMBL1320453
DRUG_501	TRICLABENDAZOLE
DRUG_502	BISANHYDRORUTILANTINONE
DRUG_503	2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE
DRUG_504	CHEMBL1379900
DRUG_505	RALOXIFENE HYDROCHLORIDE
DRUG_506	GEFITINIB
DRUG_507	PROTOAPIGENONE
DRUG_508	DIHYDROERGOCRISTINE MESYLATE
DRUG_509	ITRACONAZOLE
DRUG_510	12A-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE
DRUG_511	CARNOSIC ACID
DRUG_512	HELIOMYCIN
DRUG_513	CHEMBL1574420
DRUG_514	3,4-DIMETHOXYDALBERGIONE
DRUG_515	3-METHOXYCATECHOL
DRUG_516	DOCEBENONE
DRUG_517	PHENANTHROLINE
DRUG_518	ISOEUGENITOL
DRUG_519	CYSTEAMINE HYDROCHLORIDE
DRUG_520	MYRICETIN
DRUG_521	CHEMBL39878
DRUG_522	SR-2640
DRUG_523	ISOVELLERAL
DRUG_524	2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE
DRUG_525	CHEMBL580421
DRUG_526	EMODIC ACID
DRUG_527	CHEMBL227959
DRUG_528	CHEMBL584458
DRUG_529	PHENSERINE
DRUG_530	CHEMBL600694
DRUG_531	NORDIHYDROGUAIARETIC ACID
DRUG_532	FLUPIRTINE MALEATE
DRUG_533	GRINIMIBINE
DRUG_534	NOREPINEPHRINE
DRUG_535	CHEMBL605077
DRUG_536	GOSURANEMAB
DRUG_537	CHEMBL458094
DRUG_538	DIHYDROXANTHOHUMOL
DRUG_539	PANTOPRAZOLE
DRUG_540	BITHIONOL
DRUG_541	DICHLOROPHEN
DRUG_542	CHEMBL578257
DRUG_543	METHYLDOPA (RACEMIC)
DRUG_544	CHEMBL527620
DRUG_545	CHEMBL601618
DRUG_546	PTEROSTILBENE
DRUG_547	DEPHOSTATIN
DRUG_548	QUINALIZARIN
DRUG_549	FISETIN
DRUG_550	TETROQUINONE
DRUG_551	CAPSAZEPINE
DRUG_552	PARAROSANILINE
DRUG_553	CHEMBL328710
DRUG_554	CHEMBL581574
DRUG_555	OXYPHENBUTAZONE
DRUG_556	GETIACAULEIN
DRUG_557	DIHYDROGAMBOGIC ACID
DRUG_558	TYRPHOSTIN A9
DRUG_559	MECYSTEINE HYDROCHLORIDE
DRUG_560	SLAZINIC ACID
DRUG_561	CHEMBL609606
DRUG_562	CHEMBL523200
DRUG_563	CGP-53353
DRUG_564	CHEMBL1543865
DRUG_565	AMINOHIPPURIC ACID
DRUG_566	CHEMBL591137
DRUG_567	PLUMBAGIN
DRUG_568	PURPURIN
DRUG_569	ELLAGIC ACID
DRUG_570	CHEMBL1588679
DRUG_571	CHEMBL2181046
DRUG_572	CHEMBL601192
DRUG_573	DIHYDROERGOCRISTINE
DRUG_574	HEXACHLOROPHENE
DRUG_575	CHEMBL603952
DRUG_576	CHEMBL515763
DRUG_577	CARUBICIN
DRUG_578	1,4-DIMETHOXYANTHRAQUINONE
DRUG_579	CHEMBL582715
DRUG_580	PROTOPORPHYRIN
DRUG_581	CEFACLOR
DRUG_582	OXIDOPAMINE HYDROCHLORIDE
DRUG_583	BISSALICYL FUMARATE
DRUG_584	SULFASALAZINE
DRUG_585	DIHYDROERGOTAMINE MESYLATE
DRUG_586	ACITRETIN
DRUG_587	TYRPHOSTIN 1
DRUG_588	MACLURAXANTHONE
DRUG_589	TYRPHOSTIN 51
DRUG_590	NORSTICTIC ACID
DRUG_591	CHEMBL2181041
DRUG_592	CHELERYTHRINE CHLORIDE
DRUG_593	CARBIDOPA
DRUG_594	RALOXIFENE
DRUG_595	MAHANIMBINE
DRUG_596	CHEMBL1334191
DRUG_597	CHEMBL601110
DRUG_598	CONGO RED
DRUG_599	CHEMBL234338
DRUG_600	CHEMBL1534034
DRUG_601	CHEMBL314639
DRUG_602	NITAZOXANIDE
DRUG_603	CHEMBL85194
DRUG_604	ACID BLUE 129
DRUG_605	CHEMBL578741
DRUG_606	BITHIONOLATE SODIUM
DRUG_607	CHEMBL601605
DRUG_608	ELLIPTECINE
DRUG_609	IODOPHTHALEIN
DRUG_610	APOMORPHINE
DRUG_611	CHEMBL1402376
DRUG_612	MESNA
DRUG_613	PROPRANOLOL
DRUG_614	NEBIVOLOL
DRUG_615	ISOPROTERENOL HYDROCHLORIDE
DRUG_616	ISOPROTERENOL
DRUG_617	CARTEOLOL
DRUG_618	PENBUTOLOL SULFATE
DRUG_619	NEBIVOLOL HYDROCHLORIDE
DRUG_620	NADOLOL
DRUG_621	SOLABEGRON
DRUG_622	ARFORMOTEROL
DRUG_623	DROXIDOPA
DRUG_624	BETAXOLOL HYDROCHLORIDE
DRUG_625	PRACTOLOL
DRUG_626	ATENOLOL
DRUG_627	TIMOLOL
DRUG_628	DOBUTAMINE
DRUG_629	HYDROXYAMPHETAMINE HYDROBROMIDE
DRUG_630	BETAXOLOL
DRUG_631	LEVOBUNOLOL
DRUG_632	PINDOLOL
DRUG_633	DIPIVEFRIN HYDROCHLORIDE
DRUG_634	PROPRANOLOL HYDROCHLORIDE
DRUG_635	OXPRENOLOL HYDROCHLORIDE
DRUG_636	SOTALOL
DRUG_637	ESMOLOL
DRUG_638	METIPRANOLOL
DRUG_639	ACEBUTOLOL
DRUG_640	LABETALOL HYDROCHLORIDE
DRUG_641	CICLOPROLOL
DRUG_642	DOBUTAMINE HYDROCHLORIDE
DRUG_643	SOTALOL HYDROCHLORIDE
DRUG_644	BUPRANOLOL
DRUG_645	CARVEDILOL
DRUG_646	LY377604
DRUG_647	ALPRENOLOL
DRUG_648	LABETALOL
DRUG_649	METOPROLOL
DRUG_650	PROPAFENONE HYDROCHLORIDE
DRUG_651	MIRABEGRON
DRUG_652	NOREPINEPHRINE BITARTRATE
DRUG_653	ABEDITEROL
DRUG_654	LEVOBETAXOLOL HYDROCHLORIDE
DRUG_655	ACEBUTOLOL HYDROCHLORIDE
DRUG_656	BISOPROLOL
DRUG_657	ISOETHARINE
DRUG_658	DOPAMINE HYDROCHLORIDE
DRUG_659	TIMOLOL MALEATE
DRUG_660	BUFURALOL
DRUG_661	LEVOBUNOLOL HYDROCHLORIDE
DRUG_662	BEVANTOLOL
DRUG_663	CELIPROLOL
DRUG_664	XAMOTEROL
DRUG_665	ARBUTAMINE
DRUG_666	BISOPROLOL FUMARATE
DRUG_667	METIPRANOLOL HYDROCHLORIDE
DRUG_668	AMIODARONE
DRUG_669	PROPAFENONE
DRUG_670	METOPROLOL SUCCINATE
DRUG_671	CARVEDILOL PHOSPHATE
DRUG_672	BETHANIDINE
DRUG_673	DENOPAMINE
DRUG_674	ESMOLOL HYDROCHLORIDE
DRUG_675	MEPHENTERMINE SULFATE
DRUG_676	LEVOBETAXOLOL
DRUG_677	PRENALTEROL
DRUG_678	CARTEOLOL HYDROCHLORIDE
DRUG_679	OXPRENOLOL
DRUG_680	PENBUTOLOL
DRUG_681	DRONEDARONE
DRUG_682	SALMETEROL
DRUG_683	DOPAMINE
DRUG_684	BUCINDOLOL
DRUG_685	DIPIVEFRIN
DRUG_686	HYDROCHLOROTHIAZIDE
DRUG_687	DICHLOROISOPROTERENOL
DRUG_688	CHEMBL111201
DRUG_689	DIGOXIN
DRUG_690	MEPINDOLOL
DRUG_691	SPIRONOLACTONE
DRUG_692	TERTATOLOL
DRUG_693	BUNOLOL
DRUG_694	BUNITROLOL
DRUG_695	MURAGLITAZAR
DRUG_696	BRETYLIUM
DRUG_697	BUDIODARONE
DRUG_698	ANISODAMINE
DRUG_699	ZIPRASIDONE
DRUG_700	RIMONABANT
DRUG_701	IRINOTECAN
DRUG_702	ZIDOVUDINE
DRUG_703	CYCLOPHOSPHAMIDE
DRUG_704	CYTARABINE
DRUG_705	FLUOROURACIL
DRUG_706	CEPHALEXIN
DRUG_707	CEFTRIAXONE
DRUG_708	LAMIVUDINE
DRUG_709	CEFOPERAZONE
DRUG_710	VALGANCICLOVIR
DRUG_711	CEFUROXIME
DRUG_712	DOXORUBICIN
DRUG_713	CEFAMANDOLE
DRUG_714	RUCAPARIB
DRUG_715	IMATINIB
DRUG_716	CEFMETAZOLE
DRUG_717	AZATHIOPRINE
DRUG_718	CEPHRADINE
DRUG_719	THIOGUANINE
DRUG_720	FUROSEMIDE
DRUG_721	LEUCOVORIN
DRUG_722	CEFOXITIN
DRUG_723	LATANOPROST
DRUG_724	GANCICLOVIR
DRUG_725	LOSARTAN
DRUG_726	IRBESARTAN
DRUG_727	AZILSARTAN KAMEDOXOMIL
DRUG_728	EPROSARTAN
DRUG_729	VALSARTAN
DRUG_730	OLMESARTAN
DRUG_731	CANDESARTAN
DRUG_732	SAPRISARTAN
DRUG_733	TASOSARTAN
DRUG_734	SPARSENTAN
DRUG_735	FORASARTAN
DRUG_736	TELMISARTAN
DRUG_737	EPROSARTAN MESYLATE
DRUG_738	CANDESARTAN CILEXETIL
DRUG_739	PRATOSARTAN
DRUG_740	SARALASIN ACETATE
DRUG_741	AZILSARTAN
DRUG_742	OLMESARTAN MEDOXOMIL
DRUG_743	LOSARTAN POTASSIUM
DRUG_744	CHEMBL1972216
DRUG_745	CHEMBL1492017
DRUG_746	CHEMBL125044
DRUG_747	CHEMBL421088
DRUG_748	IDOXIFENE
DRUG_749	CAPTOPRIL
DRUG_750	CHEMBL2094484
DRUG_751	CHEMBL400912
DRUG_752	PERINDOPRIL
DRUG_753	LEVODOPA
DRUG_754	CHEMBL528694
DRUG_755	CHEMBL347610
DRUG_756	DISULFIRAM
DRUG_757	CYCLOSPORINE
DRUG_758	AZILSARTAN MEDOXOMIL
DRUG_759	CL-329167
DRUG_760	SARALASIN
