target	target_with_keyphrase_count	target_count	keyphrase_count	db_article_count	fet_p_value	target_and_keyphrase_ratio	fet_p_value_and_ratio	phenotypes
DRUG_4665:FLUVASTATIN	622	1610	182002	31847923	0.0|7.700819332036485e-179	0.38633540372670805|0.0968944099378882	322.5921498561108|177.09976178774073	cholesterol|atherosclerosis
DRUG_724:Atorvastatin	2935	7628	182002	31847923	0.0|0.0	0.38476664918720505|0.09242265338227583	322.59038276866147|321.9709637800692	cholesterol|atherosclerosis
DRUG_4464:ATORVASTATIN	2935	7628	182002	31847923	0.0|0.0	0.38476664918720505|0.09242265338227583	322.59038276866147|321.9709637800692	cholesterol|atherosclerosis
DRUG_4662:PITAVASTATIN	299	795	182002	31847923	0.0|3.350961535055281e-89	0.37610062893081764|0.09685534591194969	322.5804894071198|87.46095415382223	cholesterol|atherosclerosis
DRUG_2441:Simvastatin	3108	8286	182002	31847923	0.0|0.0	0.3750905141202028|0.06987690079652426	322.5793214286184|321.849518982217	cholesterol|atherosclerosis
DRUG_4655:SIMVASTATIN	3108	8286	182002	31847923	0.0|0.0	0.3750905141202028|0.06987690079652426	322.5793214286184|321.849518982217	cholesterol|atherosclerosis
DRUG_883:Rosuvastatin	1147	3101	182002	31847923	0.0|6.6392714e-317	0.36988068365043536|0.09158336020638504	322.5732469991157|315.1396961490297	cholesterol|atherosclerosis
DRUG_4664:ROSUVASTATIN	1147	3101	182002	31847923	0.0|6.6392714e-317	0.36988068365043536|0.09158336020638504	322.5732469991157|315.1396961490297	cholesterol|atherosclerosis
DRUG_1474:Gemfibrozil	480	1514	182002	31847923	0.0|4.9653936377456044e-107	0.31704095112285335|0.07001321003963012	322.5063007096633|105.14922630667027	cholesterol|atherosclerosis
DRUG_6104:GEMFIBROZIL	480	1514	182002	31847923	0.0|4.9653936377456044e-107	0.31704095112285335|0.07001321003963012	322.5063007096633|105.14922630667027	cholesterol|atherosclerosis
DRUG_4297:Cholic Acid	642	2204	182002	31847923	0.0|2.7728070829016487e-50	0.2912885662431942|0.032667876588021776	322.4695087853409|48.07120125151167	cholesterol|atherosclerosis
DRUG_4890:CHOLIC ACID	642	2204	182002	31847923	0.0|2.7728070829016487e-50	0.2912885662431942|0.032667876588021776	322.4695087853409|48.07120125151167	cholesterol|atherosclerosis
DRUG_3613:Fenofibrate	728	2862	182002	31847923	0.0|1.752734299686751e-173	0.2543675751222921|0.06324248777078965	322.4106470973411|171.55729285988542	cholesterol|atherosclerosis
DRUG_4683:FENOFIBRATE	728	2862	182002	31847923	0.0|1.752734299686751e-173	0.2543675751222921|0.06324248777078965	322.4106470973411|171.55729285988542	cholesterol|atherosclerosis
DRUG_6126:NIACIN	891	3537	182002	31847923	0.0|2.041262881215803e-203	0.25190839694656486|0.061068702290076333	322.4064279916739|201.4759197530044	cholesterol|atherosclerosis
DRUG_1878:Bile acid	3086	12265	182002	31847923	0.0|9.303729561274433e-148	0.25161027313493683|0.02258459029759478	322.4059137166365|145.38515513859284	cholesterol|atherosclerosis
DRUG_1706:Coenzyme A	3409	13799	182002	31847923	0.0|0.0	0.24704688745561273|0.035727226610623955	322.39796473403436|321.55818465208273	cholesterol|atherosclerosis
DRUG_2198:Bezafibrate	315	1303	182002	31847923	0.0|6.262999288991543e-57	0.2417498081350729|0.0498848810437452	322.3885514855288|54.90118657853235	cholesterol|atherosclerosis
DRUG_4948:BEZAFIBRATE	315	1303	182002	31847923	0.0|6.262999288991543e-57	0.2417498081350729|0.0498848810437452	322.3885514855288|54.90118657853235	cholesterol|atherosclerosis
DRUG_6115:LINOLEIC ACID	1231	12008	182002	31847923	0.0|4.026263934024038e-186	0.10251499000666223|0.02623251165889407	322.0159727211479|183.81393763372526	cholesterol|atherosclerosis
DRUG_6121:OLEIC ACID	946	9995	182002	31847923	0.0|1.907594008855639e-43	0.09464732366183091|0.012906453226613306	321.98129368539946|40.83032096206159	cholesterol|atherosclerosis
DRUG_1825:MCP-1	1092	13843	90432	31847923	0.0|4.292638374874134e-214	0.07888463483348986|0.03532471285126056	321.90217776692396|211.91535433651623	atherosclerosis|cholesterol
DRUG_6142:VITAMIN E	1489	21891	182002	31847923	0.0|0.0	0.06801882051984834|0.027180119683888355	321.83781444423164|321.439436712208	cholesterol|atherosclerosis
DRUG_6055:METFORMIN	944	17853	182002	31847923	0.0|1.3301467351279392e-63	0.05287626729401221|0.011818741948131966	321.7284461367654|60.94867169751062	cholesterol|atherosclerosis
DRUG_1279:Testosterone	2432	59389	182002	31847923	0.0|3.475445085411036e-35	0.04095034433986092|0.0059270235228746065	321.61744290542305|32.23182622012108	cholesterol|atherosclerosis
DRUG_4775:TESTOSTERONE	2432	59389	182002	31847923	0.0|3.475445085411036e-35	0.04095034433986092|0.0059270235228746065	321.61744290542305|32.23182622012108	cholesterol|atherosclerosis
DRUG_4608:ESTRADIOL	2107	60526	182002	31847923	0.0|9.13217814311471e-87	0.03481148597297029|0.008062650761656147	321.5469079095493|83.94590347372721	cholesterol|atherosclerosis
DRUG_4874:PROGESTERONE	1587	61572	182002	31847923	0.0	0.025774702786981095	321.4163790135036	cholesterol
DRUG_4934:ALCOHOL	4470	178413	182002	31847923	0.0|1.8436535727386663e-68	0.02505422811118024|0.005296699231558238	321.4040663746772|65.45832599327244	cholesterol|atherosclerosis
DRUG_3660:Aspirin	728	36929	90432	31847923	0.0|2.9038042812121285e-245	0.01971350429201982|0.023152535947358444	321.29994917921033|242.90163122596311	atherosclerosis|cholesterol
DRUG_4638:ASPIRIN	728	36929	90432	31847923	0.0|2.9038042812121285e-245	0.01971350429201982|0.023152535947358444	321.29994917921033|242.90163122596311	atherosclerosis|cholesterol
DRUG_395:Pioglitazone	398	4817	182002	31847923	9.20031204571733e-310|6.48060775926092e-134	0.08262403985883329|0.03757525430766037	307.9533038682577|131.76328619211063	cholesterol|atherosclerosis
DRUG_4540:PIOGLITAZONE	398	4817	182002	31847923	9.20031204571733e-310|6.48060775926092e-134	0.08262403985883329|0.03757525430766037	307.9533038682577|131.76328619211063	cholesterol|atherosclerosis
DRUG_5570:RETINOL	526	10289	182002	31847923	4.848713106296743e-305|4.1642993407048203e-19	0.05112255807172709|0.008650014578676255	303.0229860888434|16.31747489924104	cholesterol|atherosclerosis
DRUG_1431:T0901317	182	410	182002	31847923	1.1680770471295048e-288|6.159946347526006e-92	0.44390243902439025|0.16097560975609757	287.5798160411948|90.41718314929973	cholesterol|atherosclerosis
DRUG_3270:Clofibrate	288	2334	182002	31847923	9.527784246189926e-275|3.876988263341193e-27	0.12339331619537275|0.021422450728363324	273.11229972193183|24.742374666340602	cholesterol|atherosclerosis
DRUG_6105:CLOFIBRATE	288	2334	182002	31847923	9.527784246189926e-275|3.876988263341193e-27	0.12339331619537275|0.021422450728363324	273.11229972193183|24.742374666340602	cholesterol|atherosclerosis
DRUG_4935:THROMBIN	618	34926	90432	31847923	1.6218874498785141e-270|4.0091863441109966e-29	0.017694554200309225|0.010765618736757717	268.0378189121621|26.428982752842895	atherosclerosis|cholesterol
DRUG_3769:Cerivastatin	186	547	182002	31847923	5.166479507769651e-268|9.105800419851414e-34	0.340036563071298|0.062157221206581355	266.81833090673354|31.834173463461354	cholesterol|atherosclerosis
DRUG_4663:CERIVASTATIN	186	547	182002	31847923	5.166479507769651e-268|9.105800419851414e-34	0.340036563071298|0.062157221206581355	266.81833090673354|31.834173463461354	cholesterol|atherosclerosis
DRUG_2159:Anacetrapib	132	180	182002	31847923	8.807810693996064e-253|6.30075901596314e-47	0.7333333333333333|0.17777777777777778	251.92043345431645|45.45048460366953	cholesterol|atherosclerosis
DRUG_4741:ANACETRAPIB	132	180	182002	31847923	8.807810693996064e-253|6.30075901596314e-47	0.7333333333333333|0.17777777777777778	251.92043345431645|45.45048460366953	cholesterol|atherosclerosis
DRUG_4537:ROSIGLITAZONE	343	4989	182002	31847923	7.660091556687428e-241|1.275819315359434e-124	0.06875125275606334|0.035077169773501705	238.95304665556674|122.43923537184996	cholesterol|atherosclerosis
DRUG_4818:ANDROSTENEDIONE	344	6293	182002	31847923	2.2087414819940363e-209	0.054663912283489595	207.39355582316156	cholesterol
DRUG_5746:LOMITAPIDE	109	152	182002	31847923	3.7114868937753126e-207|4.236344147658778e-36	0.7171052631578947|0.16447368421052633	206.28603497871111|34.589105187101524	cholesterol|atherosclerosis
DRUG_1001:Dalcetrapib	105	141	182002	31847923	1.1392730471166402e-202|1.173574438649855e-50	0.7446808510638298|0.22695035460992907	201.8153423634376|49.28642022399274	cholesterol|atherosclerosis
DRUG_4739:DALCETRAPIB	105	141	182002	31847923	1.1392730471166402e-202|1.173574438649855e-50	0.7446808510638298|0.22695035460992907	201.8153423634376|49.28642022399274	cholesterol|atherosclerosis
DRUG_662:Vitamin A	523	18400	182002	31847923	1.4001661296117722e-187	0.02842391304347826	185.3075042981129	cholesterol
DRUG_6037:RITONAVIR	309	5750	182002	31847923	3.6021403233635557e-186	0.05373913043478261	184.17373000774103	cholesterol
DRUG_4870:ETHINYL ESTRADIOL	222	2417	182002	31847923	1.1273625842346422e-183|5.264936758771803e-13	0.09184940008274721|0.01365328920148945	181.91101270701463|10.413844130564382	cholesterol|atherosclerosis
DRUG_5109:TRITON X	361	8964	182002	31847923	2.0673032079908277e-176	0.040272199910754126	174.28960117548016	cholesterol
DRUG_3188:Magnesium	763	39709	182002	31847923	2.3368219859034847e-173|3.116756281733279e-09	0.019214787579641894|0.0045329774106625705	170.91500995765315|6.162680711371365	cholesterol|atherosclerosis
DRUG_4495:LYCOPENE	241	3441	182002	31847923	1.1434495643580185e-171|1.9189327593685023e-39	0.07003777971519907|0.021505376344086023	169.78711535658974|37.04948729006444	cholesterol|atherosclerosis
DRUG_3483:LPA	254	4033	182002	31847923	1.0513808565389545e-169|6.244669831385396e-67	0.06298041160426482|0.02702702702702703	167.77744542945814|64.63628879466368	cholesterol|atherosclerosis
DRUG_5450:CORTICOSTERONE	520	20067	182002	31847923	9.832369071108848e-170	0.025913190810783873	167.42086272095457	cholesterol
DRUG_5348:MEDROXYPROGESTERONE ACETATE	248	4358	182002	31847923	1.6027173835990255e-155|2.8080403841009304e-28	0.056906837999082145|0.015603487838458009	153.55030750746167|25.744818337445757	cholesterol|atherosclerosis
DRUG_2783:Mevastatin	98	244	182002	31847923	8.289409007542391e-151	0.4016393442622951	149.6853126806747	cholesterol
DRUG_4668:MEVASTATIN	98	244	182002	31847923	8.289409007542391e-151	0.4016393442622951	149.6853126806747	cholesterol
DRUG_2553:trimethylamine	154	2764	90432	31847923	1.4680180476393275e-139|5.871055097552458e-36	0.055716353111432707|0.03147612156295224	137.5792512873567|33.729265057836066	atherosclerosis|cholesterol
DRUG_5799:GLUCAGON	575	29403	182002	31847923	2.957586112227583e-134|1.1036618518406118e-09	0.019555827636635718|0.004897459442913988	131.82033880249745|6.647134816793458	cholesterol|atherosclerosis
DRUG_1853:22R-hydroxycholesterol	71	109	182002	31847923	1.4416723816941237e-130	0.6513761467889908	129.6549652720788	cholesterol
DRUG_6178:ORLISTAT	138	1156	182002	31847923	1.1929853029404605e-130	0.11937716262975778	129.00028615893237	cholesterol
DRUG_1815:24(S)-hydroxycholesterol	61	71	182002	31847923	6.490410742827006e-126	0.8591549295774648	125.12179930448382	cholesterol
DRUG_4876:ALDOSTERONE	514	26759	182002	31847923	2.3412917981778273e-117|4.86848637663424e-79	0.019208490601293024|0.010874845846257334	114.91403769569938|76.34902915036565	cholesterol|atherosclerosis
DRUG_6063:LITHOCHOLIC ACID	112	904	182002	31847923	3.123418142307029e-108	0.12389380530973451	106.59841946363527	cholesterol
DRUG_4625:RESVERATROL	213	11337	90432	31847923	3.3743423831219796e-99|7.219557944102066e-71	0.01878803916379995|0.022316309429302284	96.74569230991928|68.49011176814882	atherosclerosis|cholesterol
DRUG_5976:CYCLOSPORINE	455	24569	182002	31847923	5.266685628180937e-99|2.8220700393671382e-08	0.018519272253652977|0.004884203671293093	96.54608652052288|5.238225977668076	cholesterol|atherosclerosis
DRUG_4442:Heme	353	31740	90432	31847923	4.738266123171752e-98|2.945827319759916e-17	0.011121613106490234|0.00960932577189666	95.37054833388927|14.51348563140484	atherosclerosis|cholesterol
DRUG_1154:Cilostazol	101	1615	90432	31847923	3.7003446480902645e-97|1.0589316150497422e-30	0.06253869969040247|0.038390092879256967	95.22790667121255|28.559351248205704	atherosclerosis|cholesterol
DRUG_4710:CILOSTAZOL	101	1615	90432	31847923	3.7003446480902645e-97|1.0589316150497422e-30	0.06253869969040247|0.038390092879256967	95.22790667121255|28.559351248205704	atherosclerosis|cholesterol
DRUG_4617:OLANZAPINE	223	6601	182002	31847923	5.0083726963978776e-95	0.03378276018785033	92.82899849101143	cholesterol
DRUG_5222:DESOGESTREL	97	785	182002	31847923	7.154312047328639e-94	0.12356687898089172	92.23733419881214	cholesterol
DRUG_1501:Evacetrapib	50	77	182002	31847923	2.6475400844216572e-92|3.1423327485235475e-14	0.6493506493506493|0.12987012987012986	91.38963673500673|12.616257103290947	cholesterol|atherosclerosis
DRUG_4740:EVACETRAPIB	50	77	182002	31847923	2.6475400844216572e-92|3.1423327485235475e-14	0.6493506493506493|0.12987012987012986	91.38963673500673|12.616257103290947	cholesterol|atherosclerosis
DRUG_5361:ESTRONE	206	6053	182002	31847923	1.7177488469357921e-88	0.034032711052370726	86.29693688077013	cholesterol
DRUG_5979:CLOPIDOGREL	192	10405	90432	31847923	2.556746116773356e-88|3.375786330485121e-14	0.018452666987025468|0.012109562710235463	85.85837153914818|11.554753510302298	atherosclerosis|cholesterol
DRUG_4188:Thiazolidinedione	126	2008	182002	31847923	5.666687440741604e-85|7.794330232645502e-60	0.06274900398406374|0.03884462151394422	83.04427757785957|57.697552092045214	cholesterol|atherosclerosis
DRUG_4622:THIAZOLIDINEDIONE	126	2008	182002	31847923	5.666687440741604e-85|7.794330232645502e-60	0.06274900398406374|0.03884462151394422	83.04427757785957|57.697552092045214	cholesterol|atherosclerosis
DRUG_4548:FENOFIBRIC ACID	62	222	182002	31847923	2.603428275175877e-84|2.6763564698489793e-16	0.27927927927927926|0.06756756756756757	83.03049309774666|14.402194327012253	cholesterol|atherosclerosis
DRUG_5626:EFAVIRENZ	161	3712	182002	31847923	2.346278168570687e-84	0.04337284482758621	82.26683840884118	cholesterol
DRUG_6011:ADENOSINE	990	88017	182002	31847923	8.067468069547321e-83|5.071053636311277e-52	0.011247827124305531|0.00595339536680414	80.14433137757914|49.06966652105284	cholesterol|atherosclerosis
DRUG_1715:GLP-1	218	7921	182002	31847923	7.309101984134437e-77|1.3526665746648063e-24	0.027521777553339226|0.0108572149981063	74.57581245866369|21.904527679514697	cholesterol|atherosclerosis
DRUG_6051:ATAZANAVIR	103	1489	182002	31847923	6.145426614259391e-74	0.06917394224311618	72.05139049004985	cholesterol
DRUG_698:Ciprofibrate	65	390	182002	31847923	2.8233663246003163e-72|6.583488626566052e-14	0.16666666666666666|0.041025641025641026	70.77108151920903|11.79459928600201	cholesterol|atherosclerosis
DRUG_6111:CIPROFIBRATE	65	390	182002	31847923	2.8233663246003163e-72|6.583488626566052e-14	0.16666666666666666|0.041025641025641026	70.77108151920903|11.79459928600201	cholesterol|atherosclerosis
DRUG_4667:PRAVASTATIN SODIUM	43	91	182002	31847923	4.873633171363288e-71|7.623684429821536e-12	0.4725274725274725|0.0989010989010989	69.98657422565806|10.113036206038803	cholesterol|atherosclerosis
DRUG_1935:Troglitazone	87	1940	90432	31847923	1.0456519950925498e-71|5.68699913264712e-37	0.04484536082474227|0.03865979381443299	69.6323303522663|34.83237637144574	atherosclerosis|cholesterol
DRUG_4554:TROGLITAZONE	87	1940	90432	31847923	1.0456519950925498e-71|5.68699913264712e-37	0.04484536082474227|0.03865979381443299	69.6323303522663|34.83237637144574	atherosclerosis|cholesterol
DRUG_6117:MYRISTIC ACID	90	1098	182002	31847923	3.1200288901953627e-71	0.08196721311475409	69.41948155389836	cholesterol
DRUG_4913:HYDROCHLOROTHIAZIDE	166	4999	182002	31847923	3.509979266051909e-70|1.685595207394256e-10	0.03320664132826565|0.008801760352070413	67.9759204002535|7.717816251949161	cholesterol|atherosclerosis
DRUG_4182:Avasimibe	35	50	182002	31847923	6.448676831490043e-67|3.0164708392873234e-20	0.7|0.24	66.03562742673287|18.90071211043406	cholesterol|atherosclerosis
DRUG_3524:Nicotinamide-Adenine-Dinucleotide	158	9331	90432	31847923	5.255776199629789e-68|1.389816715044197e-13	0.016932804629728862|0.012324509698853285	65.50809203361827|10.947812120378863	atherosclerosis|cholesterol
DRUG_4657:ATORVASTATIN CALCIUM	50	209	182002	31847923	1.6180896840455702e-64|1.2678316017628695e-08	0.23923444976076555|0.0430622009569378	63.16982112912752|6.531034650604268	cholesterol|atherosclerosis
DRUG_713:Darapladib	35	96	90432	31847923	1.1588224485530964e-63|3.7826641924451357e-22	0.3645833333333333|0.1875	62.49777991160302|20.69520348372932	atherosclerosis|cholesterol
DRUG_5955:DARAPLADIB	35	96	90432	31847923	1.1588224485530964e-63|3.7826641924451357e-22	0.3645833333333333|0.1875	62.49777991160302|20.69520348372932	atherosclerosis|cholesterol
DRUG_1090:Taurocholic Acid	67	629	182002	31847923	5.016935583272822e-61	0.10651828298887123	59.32698563247033	cholesterol
DRUG_177:Nicotinamide	198	16284	90432	31847923	1.1071504682223108e-61|1.1434897955348786e-33	0.012159174649963155|0.014185703758290346	59.04069744850481|31.09361859285432	atherosclerosis|cholesterol
DRUG_3355:Silymarin	101	2002	182002	31847923	1.3297841361396173e-59	0.05044955044955045	57.57907615297458	cholesterol
DRUG_1832:TOCOTRIENOL	75	933	182002	31847923	4.801864365285769e-59	0.08038585209003216	57.22376973094624	cholesterol
DRUG_4671:TOCOTRIENOL	75	933	182002	31847923	4.801864365285769e-59	0.08038585209003216	57.22376973094624	cholesterol
DRUG_5073:NORGESTREL	63	572	182002	31847923	2.0825716312413965e-58	0.11013986013986014	56.72334457251794	cholesterol
DRUG_436:24(S), 25-epoxycholesterol	30	43	182002	31847923	1.7406904104298055e-57	0.6976744186046512	56.602931262369566	cholesterol
DRUG_4132:LAROPIPRANT	38	104	182002	31847923	1.45394452325427e-57	0.36538461538461536	56.40020242143063	cholesterol
DRUG_4670:LAROPIPRANT	38	104	182002	31847923	1.45394452325427e-57	0.36538461538461536	56.40020242143063	cholesterol
DRUG_1998:Sodium taurocholate	88	1498	182002	31847923	1.529979164846389e-57	0.05874499332443257	55.58428534212197	cholesterol
DRUG_5784:ATENOLOL	148	5019	182002	31847923	2.0784459409216637e-56|5.927515836467661e-19	0.029487945805937436|0.011755329746961547	54.151905786451486|16.297362093009344	cholesterol|atherosclerosis
DRUG_4985:TRIPARANOL	44	204	182002	31847923	8.72690543075944e-55	0.21568627450980393	53.392962239306684	cholesterol
DRUG_5054:TESTOSTERONE UNDECANOATE	53	403	182002	31847923	1.4428783724151064e-53	0.1315136476426799	51.95974109972254	cholesterol
DRUG_2650:CI-976	28	43	182002	31847923	2.184911940129412e-52|5.607866733483876e-13	0.6511627906976745|0.18604651162790697	51.47425563774523|11.520823846995885	cholesterol|atherosclerosis
DRUG_5111:TACROLIMUS	248	13596	182002	31847923	1.0539182961495063e-53	0.018240659017358045	51.23823358093316	cholesterol
DRUG_5225:ESTRADIOL VALERATE	67	830	182002	31847923	4.689141876623069e-53|8.904205747294002e-12	0.08072289156626505|0.02289156626506024	51.235903337192994|9.410080321998295	cholesterol|atherosclerosis
DRUG_1133:Curcumin	245	13503	182002	31847923	1.1028786544665121e-52|1.124450341671265e-28	0.018144116122343183|0.009257202103236318	50.2162080854037|25.91553946460392	cholesterol|atherosclerosis
DRUG_2272:Dihydrotestosterone	179	7981	182002	31847923	5.408037132204216e-51	0.022428267134444305	48.61775605531181	cholesterol
DRUG_4927:DIPYRIDAMOLE	108	5786	90432	31847923	5.835114264289277e-51	0.018665744901486345	48.50499596127527	atherosclerosis
DRUG_6168:UROKINASE	154	12526	90432	31847923	5.7774295047780395e-49	0.012294427590611529	46.327973658475834	atherosclerosis
DRUG_5627:TIBOLONE	64	874	182002	31847923	3.8556176837685484e-48|2.1336098490758868e-11	0.07322654462242563|0.021739130434782608	46.2785745778566|9.008127160860905	cholesterol|atherosclerosis
DRUG_4744:TAMOXIFEN	281	17918	182002	31847923	3.270112479295781e-48	0.015682553856457195	45.68085409667276	cholesterol
DRUG_1140:methylglyoxal	81	3212	90432	31847923	5.338136379041302e-48	0.025217932752179328	45.67431981729626	atherosclerosis
DRUG_5293:HYDROXYPROGESTERONE	108	3140	182002	31847923	1.0293799035742947e-47	0.034394904458598725	45.52391842208127	cholesterol
DRUG_219:Liraglutide	94	2447	182002	31847923	1.172942362622518e-45|5.4170368016137546e-15	0.03841438496117695|0.014711892112791173	43.51521721246486|12.433906745360602	cholesterol|atherosclerosis
DRUG_6147:RAMIPRIL	61	1946	90432	31847923	7.435877536558045e-42|3.045541350575723e-21	0.03134635149023638|0.02826310380267215	39.62485477043084|18.967555353088468	atherosclerosis|cholesterol
DRUG_5396:PARAOXON	57	1654	90432	31847923	2.0717877747016164e-41|7.923088192732097e-32	0.034461910519951636|0.03869407496977025	39.2209940844197|29.688749978636086	atherosclerosis|cholesterol
DRUG_5099:NORETHINDRONE	56	809	182002	31847923	4.96126161572668e-41	0.069221260815822	39.14464737667042	cholesterol
DRUG_4499:STREPTOZOCIN	71	1494	182002	31847923	9.282879695513866e-41	0.04752342704149933	38.70922502912992	cholesterol
DRUG_5299:RIMONABANT	61	1035	182002	31847923	1.630885631041931e-40|1.4739209148856684e-08	0.05893719806763285|0.01642512077294686	38.55796597883663|6.047034390063786	cholesterol|atherosclerosis
DRUG_2137:oleoyl-CoA	36	237	182002	31847923	2.9339941687726224e-39	0.1518987341772152	37.71409490839661	cholesterol
DRUG_4810:CYPROTERONE ACETATE	77	1941	182002	31847923	1.149754205098221e-38	0.03967027305512622	36.537860183151345	cholesterol
DRUG_6125:ACIPIMOX	36	262	182002	31847923	1.2496633949632467e-37	0.13740458015267176	36.04120816075654	cholesterol
DRUG_6085:NEVIRAPINE	101	3504	182002	31847923	2.9211318909506885e-38	0.028824200913242008	35.99420611020009	cholesterol
DRUG_1257:phorbol 12-myristate 13-acetate	122	10081	90432	31847923	1.5959798350897397e-38|1.8017372259796513e-09	0.01210197401051483|0.010713222894554111	35.87982881611335|6.774228689078407	atherosclerosis|cholesterol
DRUG_1926:Phorbol 12-myristate	122	10222	90432	31847923	5.905710211534019e-38|1.9449990372215488e-09	0.011935042066131872|0.01066327528859323	35.305551821385734|6.738971230636272	atherosclerosis|cholesterol
DRUG_4644:LEVOTHYROXINE	88	2705	182002	31847923	2.074489061132277e-37|4.399024798842621e-11	0.03253234750462107|0.011829944547134935	35.195404253589544|8.429626298623539	cholesterol|atherosclerosis
DRUG_1693:Cyproterone	78	2097	182002	31847923	3.054476129418628e-37	0.03719599427753934	35.08555943673395	cholesterol
DRUG_5244:CYPROTERONE	78	2097	182002	31847923	3.054476129418628e-37	0.03719599427753934	35.08555943673395	cholesterol
DRUG_4366:deoxycorticosterone	93	3053	182002	31847923	3.268728177637963e-37	0.030461840812315753	34.96937733742841	cholesterol
DRUG_711:MYRIOCIN	35	277	182002	31847923	2.5505330183175103e-35|4.588672562268429e-11	0.1263537906137184|0.04332129963898917	33.69495732515621|8.975014408496094	cholesterol|atherosclerosis
DRUG_5584:ZIPRASIDONE	63	1384	182002	31847923	2.6663446298297943e-35	0.04552023121387283	33.23228817728563	cholesterol
DRUG_5064:TESTOSTERONE ENANTHATE	41	457	182002	31847923	5.673423800512368e-35	0.08971553610503283	33.19902243040064	cholesterol
DRUG_5565:GESTODENE	42	493	182002	31847923	7.372415317792511e-35|2.9362623565281237e-08	0.08519269776876268|0.02434077079107505	33.06279257833042|5.918539469360828	cholesterol|atherosclerosis
DRUG_1191:FGF-21	35	293	182002	31847923	1.892395672672829e-34|1.6034883566187333e-14	0.11945392491467577|0.051194539249146756	32.80018847771648|12.504157827960402	cholesterol|atherosclerosis
DRUG_4514:CHLORTHALIDONE	52	926	182002	31847923	8.960193220185785e-34	0.056155507559395246	31.79707498193854	cholesterol
DRUG_2093:L-NAME	121	11148	90432	31847923	7.130103050186651e-34|3.510652142314515e-10	0.010853964836742017|0.010674560459275206	31.18249260359246|7.482962202406467	atherosclerosis|cholesterol
DRUG_4654:GENISTEIN	104	8550	90432	31847923	2.7720193179038086e-33|2.8128003041090484e-25	0.012163742690058479|0.0160233918128655	30.642270972068864|22.755615552080318	atherosclerosis|cholesterol
DRUG_2248:Vorapaxar	25	235	90432	31847923	3.9058039949878014e-31	0.10638297872340426	29.435161701107216	atherosclerosis
DRUG_4931:VORAPAXAR	25	235	90432	31847923	3.9058039949878014e-31	0.10638297872340426	29.435161701107216	atherosclerosis
DRUG_4287:DL-3	37	432	182002	31847923	5.443858846391866e-31	0.08564814814814815	29.196811121379834	cholesterol
DRUG_4855:CYCLOHEXIMIDE	195	12999	182002	31847923	1.2442513990071242e-31|2.3333466049360624e-08	0.01500115393491807|0.005769674590353104	29.081216529881605|5.393172064157023	cholesterol|atherosclerosis
